name,segment,offset,debug_type,file_offset,overlay_offset
CTEMP1,0x10ec,0x9a90,0x0085,0x1acd0,0x1c4b7
CTEMP2,0x10ec,0x9a92,0x0085,0x1acd2,0x1c4c6
CTRLCTXT,0x10ec,0x8a14,0x0084,0x19c54,0x1c4e3
DATABANK,0x10ec,0x0abb,0x0085,0x11cfb,0x1c517
DAYSINAMON,0x10ec,0x8c17,0x0085,0x19e57,0x1c533
DAYSINAMONLEAP,0x10ec,0x8c31,0x0085,0x19e71,0x1c546
DAYSPTRS,0x10ec,0x8c4b,0x0085,0x19e8b,0x1c55d
DBLINE,0x10ec,0x0ab0,0x0085,0x11cf0,0x1c56e
DDLINE,0x10ec,0x0aae,0x0085,0x11cee,0x1c595
DECE,0x10ec,0x8cf9,0x0084,0x19f39,0x1c5a4
DECTAB,0x10ec,0x6f6f,0x0085,0x181af,0x1c5b1
DECTABLE,0x10ec,0x7521,0x0084,0x18761,0x1c5c0
DEFAULTERR,0x10ec,0x2557,0x0084,0x13797,0x1c5d1
DIVAL,0x10ec,0x0ed1,0x0085,0x12111,0x1c652
DLLINE,0x10ec,0x0ab6,0x0085,0x11cf6,0x1c66d
DOINGERR,0x10ec,0x0ee1,0x0084,0x12121,0x1c67c
DOINGFRS,0x10ec,0x0ad0,0x0084,0x11d10,0x1c68d
DONEERR,0x10ec,0x0ee3,0x0084,0x12123,0x1c6b7
DOTERR,0x0d0b,0x0b54,0x002c,0x0df84,0x1c6f8
DREG,0x10ec,0x248d,0x0084,0x136cd,0x1c73b
DWLINE,0x10ec,0x0ab2,0x0085,0x11cf2,0x1c776
DWLINE2,0x10ec,0x0ab4,0x0085,0x11cf4,0x1c785
EADPIND1,0x000b,0x0d44,0x0082,0x01174,0x1c7aa
EADPINDW,0x100b,0x0d52,0x0082,0x11182,0x1c7d7
EAEXPERR,0x170b,0x0d50,0x0084,0x18180,0x1c809
EAEXPL,0x0b0b,0x0b52,0x0079,0x0bf82,0x1c817
EAIMMERR,0x0d0b,0x0d4d,0x0084,0x0e17d,0x1c83b
EAIMMERR1,0x030b,0x0e52,0x0084,0x04282,0x1c849
EAIMMW,0x190b,0x0b4b,0x0077,0x19f7b,0x1c865
EATAB,0x10ec,0x7307,0x0085,0x18547,0x1c973
EDIVZ,0x110b,0x0a31,0x0018,0x11e61,0x1c9fe
ENDADDSYM,0x10ec,0x79a9,0x0084,0x18be9,0x1ca8a
ENDEXP,0x10ec,0x6baf,0x0084,0x17def,0x1cac4
ENDFIELD,0x0d0b,0x0d50,0x008b,0x0e180,0x1cad0
ENDGETMAC,0x10ec,0x7a29,0x0084,0x18c69,0x1cafd
ENDMESSAGE,0x10ec,0x261f,0x0084,0x1385f,0x1cb1b
ENVFLAGXOR,0x10ec,0xa4a1,0x0084,0x1b6e1,0x1cb77
ENVFOUND,0x10ec,0xa4a2,0x0084,0x1b6e2,0x1cb8a
ENVNAMEBUF,0x10ec,0xa4a3,0x0084,0x1b6e3,0x1cb9b
ENVNAMELEN,0x10ec,0xa5a3,0x0085,0x1b7e3,0x1cbae
ENVPTR,0x10ec,0xa5a5,0x0085,0x1b7e5,0x1cbc1
EOFTXT,0x10ec,0x254f,0x0084,0x1378f,0x1cbd0
EORTAB,0x10ec,0x6f9d,0x0085,0x181dd,0x1cbdf
ERRLINE,0x10ec,0x0edf,0x0085,0x1211f,0x1cbfc
ERROK3,0x010b,0x0b32,0x0008,0x01f62,0x1cc15
ERRORPTR,0x10ec,0x13de,0x0085,0x1261e,0x1cc24
ERRORS,0x10ec,0x13c4,0x0085,0x12604,0x1cc35
ERRORSTK,0x10ec,0x24a0,0x0085,0x136e0,0x1cc44
ERRORSUP,0x10ec,0x13e9,0x0084,0x12629,0x1cc55
ERRORT2,0x180b,0x0c54,0x0008,0x19084,0x1cc6f
ERRORTXT,0x10ec,0x8a54,0x0084,0x19c94,0x1cc7f
ERRSUPDO,0x080b,0x0d4b,0x0022,0x0917b,0x1cca9
ETEMP1,0x10ec,0x9a8c,0x0085,0x1accc,0x1ccde
ETEMP2,0x10ec,0x9a8e,0x0085,0x1acce,0x1cced
EXBUFF,0x10ec,0x0ad1,0x0085,0x11d11,0x1cd2c
EXPRESSFLAGS,0x10ec,0x0ace,0x0084,0x11d0e,0x1cdb0
EXPRSUR,0x10ec,0x13e6,0x0084,0x12626,0x1cdc5
EXPRTXT,0x10ec,0x8a62,0x0084,0x19ca2,0x1cdd5
EXTPTR,0x10ec,0x13a6,0x0085,0x125e6,0x1ce7a
E_CONDUNBAL,0x110b,0x1050,0x0029,0x12480,0x1cea4
E_PUBISEXTERN,0x050b,0x1244,0x005a,0x06674,0x1cf5b
E_PUBNOLOCALS,0x0e0b,0x124e,0x005a,0x0f67e,0x1cf6e
E_REPTUNBAL,0x080b,0x1053,0x0029,0x09483,0x1cf81
F1STNAME,0x10ec,0x66e7,0x0084,0x17927,0x1cfc8
FATALERRTXT,0x10ec,0x8a3c,0x0084,0x19c7c,0x1cfe3
FCALCEQ,0x0f0b,0x0c44,0x001a,0x10074,0x1d04a
FCALCOR,0x0e0b,0x0c54,0x001c,0x0f084,0x1d0da
FCLOSEEND,0x150b,0x0e52,0x003b,0x16282,0x1d133
FD3,0x0c0b,0x0850,0x001b,0x0cc80,0x1d150
FEASL2,0x010b,0x0b31,0x001a,0x01f61,0x1d165
FEB,0x10ec,0x8cb4,0x0084,0x19ef4,0x1d18c
FERNOM,0x110b,0x0b4c,0x0023,0x11f7c,0x1d217
FEV1,0x160b,0x0930,0x003c,0x16d60,0x1d239
FHANDLE,0x10ec,0x0edd,0x0085,0x1211d,0x1d270
FIELD,0x10ec,0x2480,0x0084,0x136c0,0x1d28d
FIELDFILL,0x10ec,0x2481,0x0084,0x136c1,0x1d29b
FIELDLP,0x010b,0x0c4c,0x008b,0x0207c,0x1d2aa
FILEFLAGXOR,0x10ec,0xa5a9,0x0084,0x1b7e9,0x1d2c8
FILEFOUND,0x10ec,0xa5aa,0x0084,0x1b7ea,0x1d2dc
FILELISTHAN,0x10ec,0x13f6,0x0085,0x12636,0x1d2ee
FILELISTNAME,0x10ec,0x9a9c,0x0084,0x1acdc,0x1d302
FILELISTOPT,0x10ec,0x13f5,0x0084,0x12635,0x1d317
FILENAMEBUF,0x10ec,0xa5ab,0x0084,0x1b7eb,0x1d32b
FILENAMECHAR,0x10ec,0x7929,0x0084,0x18b69,0x1d33f
FIRSTCHAR,0x10ec,0x78a9,0x0084,0x18ae9,0x1d385
FIRSTEXTSEG,0x10ec,0x13a4,0x0085,0x125e4,0x1d397
FIRSTFRSEG,0x10ec,0x0acb,0x0085,0x11d0b,0x1d3ab
FIRSTOBJPTR,0x10ec,0x13b0,0x0085,0x125f0,0x1d3be
FL11,0x010b,0x0930,0x001c,0x01d60,0x1d3e2
FRI,0x10ec,0x8c6c,0x0084,0x19eac,0x1d4cb
FRIF,0x0b0b,0x0949,0x0043,0x0bd79,0x1d4d4
FROPJMP,0x10ec,0x6d03,0x0085,0x17f43,0x1d4e1
FRPTR,0x10ec,0x0ac5,0x0085,0x11d05,0x1d4f1
FRTAB,0x10ec,0x7407,0x0085,0x18647,0x1d50d
FR_DOLBRANCH,0x080b,0x1144,0x0009,0x09574,0x1d589
FULDIV,0x010b,0x0b54,0x001b,0x01f84,0x1d5ea
GETNUMTAB,0x10ec,0x6a29,0x0085,0x17c69,0x1d742
GETSTR,0x1a0b,0x0b52,0x0015,0x1af82,0x1d762
GETSTRREAL1,0x020b,0x1052,0x0015,0x03482,0x1d79e
GETSTRREAL2,0x0e0b,0x1031,0x0015,0x0f461,0x1d7af
GFN0,0x130b,0x0933,0x003d,0x13d63,0x1d7e7
GMS0,0x160b,0x0945,0x00cd,0x16d75,0x1d8f7
GOK,0x0e0b,0x0844,0x0076,0x0ec74,0x1d917
GOTEOLDO_MARIO,0x0e0b,0x1336,0x0027,0x0f766,0x1d934
GOTYEAR,0x150b,0x0c52,0x001d,0x16082,0x1d97b
G_SYMLOOP,0x1a0b,0x0e48,0x0013,0x1b278,0x1da2b
