name,segment,offset,debug_type,file_offset,overlay_offset
M_BVS,0x020b,0x0a43,0x00a2,0x02e73,0x1e7f1
M_CMP,0x0f0b,0x0a4f,0x00a3,0x0fe7f,0x1e826
M_END,0x100b,0x0a45,0x006a,0x10e75,0x1e87b
M_EXT,0x140b,0x0a55,0x0092,0x14e85,0x1e8a3
M_FMU,0x140b,0x0a44,0x00a4,0x14e74,0x1e904
M_GETBH,0x070b,0x0c42,0x00a5,0x08072,0x1e945
M_L,0x0a0b,0x0850,0x0093,0x0ac80,0x1ea14
M_LMU,0x000b,0x0a53,0x00ad,0x00e83,0x1ea90
M_MOVE,0x180b,0x0b56,0x00af,0x18f86,0x1eb46
M_MVHA1,0x060b,0x0c41,0x00b0,0x07071,0x1ec1f
M_MVLMS,0x0d0b,0x0c4d,0x00b2,0x0e07d,0x1ec45
M_OR3,0x0c0b,0x0a32,0x00bc,0x0ce62,0x1ecb3
M_PRINT,0x070b,0x0c49,0x0094,0x08079,0x1ecf6
M_R,0x140b,0x0854,0x0094,0x14c84,0x1ed03
M_RAM,0x190b,0x0a52,0x00bd,0x19e82,0x1ed0c
M_REP,0x140b,0x0a4d,0x006f,0x14e7d,0x1ed17
M_SBC,0x060b,0x0a53,0x00c1,0x06e83,0x1ed62
M_TO,0x050b,0x0954,0x00c5,0x05d84,0x1ee75
NARG,0x10ec,0x0204,0x0085,0x11444,0x1eed9
NARGADDR,0x10ec,0x0a9e,0x0085,0x11cde,0x1eee6
NEEDLF,0x10ec,0x247c,0x0084,0x136bc,0x1ef17
NEWFRPTR,0x10ec,0x0ac9,0x0085,0x11d09,0x1ef4e
NEXTLEVUP,0x0c0b,0x0e52,0x0058,0x0d282,0x1ef85
NOFILE,0x10ec,0x891c,0x0084,0x19b5c,0x1efee
NOFRBLK,0x10ec,0x0f88,0x0084,0x121c8,0x1effd
NOSTRINGDEF,0x020b,0x1056,0x0087,0x03486,0x1f09b
NOTEX,0x0d0b,0x0a44,0x0007,0x0de74,0x1f0ed
NOTLEAP,0x120b,0x0c54,0x001d,0x13084,0x1f12c
NOV,0x10ec,0x8cf0,0x0084,0x19f30,0x1f16e
NPARS,0x10ec,0x0203,0x0084,0x11443,0x1f192
NULLSTRING,0x10ec,0xa46d,0x0084,0x1b6ad,0x1f1d4
NUM0TABLE,0x10ec,0x741d,0x0084,0x1865d,0x1f217
NUMBRACS,0x10ec,0x0acf,0x0084,0x11d0f,0x1f241
NUMBYTES,0x10ec,0x0ee4,0x0085,0x12124,0x1f252
NUMCHARS,0x10ec,0x2485,0x0084,0x136c5,0x1f263
NUMEXTS,0x10ec,0x13aa,0x0085,0x125ea,0x1f2ab
NUMFILES,0x10ec,0x13dc,0x0085,0x1261c,0x1f2bb
NUMHI,0x130b,0x0a58,0x0010,0x13e88,0x1f2d5
